#Ebakindel
#NB! Näiliselt mõnedes tekstides kõik täpitähed asendatud täppideta variantidega (mõnes tekstis isegi kadunud). Mida sellises olukorras teha?
('ettevotte', 25) #Potentsiaalne formaadiviga
('nous', 25) #Ka prantsuskeelne sõna
('moni', 22) #Ka koha/hõimu nimi
('uksnes', 17) #Vigasus ei tule kontekstist välja
('vaikelaenu', 16) #Vigasus ei tule kontekstist välja, potentsiaalne formaadiviga
('uhendust', 16) #Vigasus ei tule kontekstist välja, potentsiaalne formaadiviga
('wõrgus', 12) #Näiliselt kasutusel terminina (internet)
('wõrgust', 10) #Näiliselt kasutusel terminina (internet)
#Kindel
('kyll', 445)
('yle', 398)
('nyyd', 378)
('voi', 376)
('yks', 371)
('yhe', 230)
('yldse', 213)
('k6ik', 205)
('v2ga', 197)
('v6i', 198)
('v2ga', 197)
('köik', 197)
('koik', 194)
('vöi', 186)
('yles', 170)
('2ra', 162)
('valja', 152)
('v2lja', 133)
('vôi', 101)
('voib', 100)
('ymber', 94)
('labi', 92)
('ysna', 92)
('p2rast', 92)
('ule', 89)
('ytles', 85)
('koige', 88)
('p2eva', 81)
('j2lle', 78)
('kôik', 77)
('voimalik', 76)
('v6ib', 75)
('hasti', 72)
('votta', 71)
('paeva', 68)
('k6ige', 68)
('l2bi', 64)
('t2na', 62)
('p2ris', 62)
('yhte', 61)
('vääga', 60)
('p2ev', 59)
('6htul', 58)
('vägaväga', 55)
('eii', 55)
('nuud', 55)
('jalle', 55)
('laheb', 53)
('l2heb', 52)
('syya', 50)
('jargi', 50)
('yhel', 50)
('6nneks', 49)
('olex', 49)
('tana', 48)
('yhes', 47)
('yhtegi', 47)
('v6tta', 47)
('l6puks', 47)
('paev', 46)
('v4ga', 45)
('m6ned', 44)
('t2is', 43)
('s6ita', 42)
('n2ha', 42)
('ytleb', 41)
('vahemalt', 40)
('yhele', 39)
('kylm', 38)
('p2eval', 38)
('ytlen', 37)
('t2iesti', 37)
('yldiselt', 36)
('h2sti', 36)
('l2ks', 35)
('tydruk', 35)
('nadal', 35)
('yhest', 34)
('mooda', 33)
('kylge', 33)
('k2isime', 32)
('l2ksime', 32)
('v2hemalt', 32)
('jai', 31)
('ohtul', 31)
('ules', 31)
('lainud', 31)
('voimalus', 30)
('yksi', 30)
('pyha', 30)
('kysimus', 30)
('j6udnud', 29)
('t6esti', 29)
('j2rgmine', 29)
('jeee', 29)
('naq', 29)
('jaanud', 28)
('jaab', 28)
('l2inud', 28)
('lopuks', 28)
('k6rval', 28)
('j2i', 28)
('k6ike', 27)
('n2inud', 27)
('kylas', 27)
('toesti', 26)
('ytlesin', 26)
('m6ne', 26)
('6htu', 26)
('v6iks', 26)
('n2dal', 26)
('m88da', 26)
('voiks', 26)
('tyyp', 26)
('uldse', 26)
('usna', 26)
('taiesti', 26)
('2kki', 26)
('l2hen', 26)
('mone', 25)
('taitsa', 25)
('j22nud', 25)
('kylma', 25)
('k2isin', 25)
('r22kida', 24)
('ytlema', 24)
('j6udsime', 24)
('j2rgi', 24)
('kysida', 24)
('nadalat', 23)
('tapselt', 23)
('kylla', 23)
('läx', 23)
('v6imalik', 23)
('kahjux', 23)
('tyhi', 22)
('t66d', 22)
('oelda', 22)
('m6ni', 21)
('k2tte', 21)
('ytleks', 21)
('lõpux', 21)
('kyla', 21)
('lyya', 21)
('paeval', 21)
('kaisime', 21)
('valjas', 21)
('m66da', 20)
('voivad', 20)
('kysis', 20)
('lopus', 20)
('nadala', 20)
('22res', 19)
('m6tlesin', 19)
('kyljest', 19)
('n2dalat', 19)
('l2ksin', 19)
('yha', 19)
('tykk', 19)
('8elda', 19)
('vahem', 19)
('sellep2rast', 19)
('tottu', 19)
('suusex', 19)
('pysti', 19)
('votma', 18)
('s6itsime', 18)
('n2dala', 18)
('j6udes', 18)
('m6ttes', 18)
('k6iki', 18)
('m6te', 18)
('syda', 18)
('joudsime', 18)
('votab', 18)
('kainud', 18)
('yleval', 18)
('myya', 18)
('moeldud', 18)
('utles', 18)
('koigest', 17)
('v6ttis', 17)
('v2ike', 17)
('igayks', 17)
('n2iteks', 17)
('k6rvale', 17)
('l2hedal', 17)
('j2rgmisel', 17)
('onneks', 17)
('peax', 17)
('yht', 17)
('ylejäänud', 17)
('systeem', 17)
('systeemi', 16)
('jaada', 16)
('6ige', 16)
('koiki', 16)
('t6ttu', 16)
('s6ber', 16)
('seet6ttu', 16)
('yhendust', 16)
('moelda', 16)
('tootab', 16)
('4ra', 16)
('n2gin', 16)
('yritan', 16)
('k2ib', 16)
('lahen', 16)
('monus', 16)
('oigus', 16)
('korval', 15)
('ytle', 15)
('paljupalju', 15)
('6nnelik', 15)
('vottis', 15)
('yheks', 15)
('k6vasti', 15)
('ykski', 15)
('v2he', 15)
('koigile', 15)
('jargmine', 15)
('voimaldab', 15)
('jatkus', 15)
('k6igest', 15)
('v4lja', 15)
('kysima', 15)
