#Ebakindel
('läbiviia', 18) #Vigasus ei tule kontekstist välja
#Kindel
('igalpool', 269)
('igaljuhul', 285)
('misiganes', 191)
('igastahes', 156)
('väljaspoole', 113)
('ausaltöeldes', 87)
('mismõttes', 79)
('mittemidagi', 75)
('igalepoole', 66)
('elusees', 62)
('ettevalmistada', 58)
('superhästi', 58)
('midaiganes', 46)
('tagasitulles', 44)
('teiseltpoolt', 42)
('samalajal', 41)
('ühelepoole', 39)
('ülekõige', 36)
('hoopistükis', 34)
('arusaada', 34)
('sellesmõttes', 33)
('igaltpoolt', 30)
('kõrvataha', 25)
('missest', 25)
('ööläbi', 25)
('viimaselajal', 24)
('seljuhul', 23)
('viimasepeal', 23)
('ettekujutada', 21)
('sadatuhat', 21)
('jasiis', 20)
('kusiganes', 20)
('ülevaltpoolt', 20)
('uksetaga', 20)
('uksetaha', 20)
('minuarvates', 19)
('ettevalmistama', 19)
('osavõtta', 19)
('sisselogida', 18)
('headaega', 18)
('teiselepoole', 18)
('ausaltöelda', 16)
('aiataha', 16)
('eestikeeles', 16)
('kohalejõudes', 16)
('veelkorra', 16)
('omalajal', 15)
('omastarust', 15)
('aastaläbi', 15) #Ka ühes kasukamüügi veebipoes tootekirjelduses
('ingliskeeles', 15)
('vastuvõtma', 14)
('inglisekeelt', 14)
('mingitsorti', 14)
('väljahingates', 14)
('teistkorda', 14)
('veelvähem', 13)
('ärakasutada', 13)
('megahästi', 13)
('sedatüüpi', 13)
('healjuhul', 12)
('mittekunagi', 12)
('üksühele', 12)
('niivõinaa', 12)
('niimõnigi', 11)
('meelejärele', 11)
('mingilmääral', 11)
('viimaseaja', 11)
('missiis', 11)
('nõndapalju', 11)
('kuhuiganes', 11)
('selleeest', 10)
('kesiganes', 10)
('sisselogides', 10)
('omalkäel', 10)
('mumeelest', 10)
('ühestküljest', 10)
('lauataga', 10)
('eiole', 10)
('mõnipäev', 10)
('elluviia', 10)
